ResponsibleDepartment,Reason,Notes
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN -TRANSACTION VOIDED
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN -TRANSACTION VOIDED
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN -TRANSACTION VOIDED
Data Entry,Strength,"
"
Fulfillment DLY,Punch-out Error,2 bottles labeled incorrectly
Fulfillment DLY,Punch-out Error,2 bottles labeled incorrectly
Data Entry,Date Written,"
"
Data Entry,Other,STOP DATE
Billing,Billing Error,NO BILLING MATRIX/PER DIEM TABLE
Data Entry,Billing Error,LF 05/28
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,ALL SHOULD HAVE BEEN PROFILED
Data Entry,Other,STOP DATE
Data Entry,Other,NOT OTCS
Billing,Charge Account,BLANK
Data Entry Misc,Billing Error,EPV receives P5 pricing on OTC's.  OTC was billed as Extended Care pricing.
Billing,Billing Error,ZNM1 receives Brookdale Cash pricing for OTC's.  OTC was billed as Extended Care pricing.
Data Entry,Other,FILL LABETALOL
Data Entry CF Auth,Procedure,3#
Billing,Doctor/MDO (Order),"PA STARTED ON HOSPITALIST PROVIDER "
Data Entry,Doctor/MDO (Order),"WRONG PROVIDER PROFILE SELECTED "
Data Entry,Billing Error,LF 06/03
Data Entry,Charge Account,"This Rx was billed to the facility's price plan, but the charge account was left as the patient's."
Data Entry,Charge Account,"This Rx was billed to the facility's price plan, but the charge account was left as the patient's."
Data Entry,Other,STOP DATE
Data Entry,SIG/MULTI-SIG/DIRECTIONS,STOP DATE
Data Entry,Document Not Associated,STOP DATE
Data Entry,Other,STOP DATE
Data Entry,Quantity,STOP DATE
Billing,Doctor/MDO (Order),"PA WAS STARTED ON DISCHARGING MDO "
Data Entry,Other,TWO DIFFERENT PATIENTS WERE STAPLED INTO THE SAME DOCUMENT.
Data Entry,Other,TWO DIFFERENT PATIENTS WERE STAPLED TOGETHER IN THE SAME DOCUMENT
Billing,Document Error,"NOT A PA , THIS IS A5 REJECT NO PA CAN BE DONE FOR THIS "
Data Entry,Doctor/MDO (Order),"WRONG PROFILE WAS SELECTED "
Data Entry,Billing Error,EPV receives P5 pricing on OTC's.  OTC was billed as Extended Care pricing.
Data Entry,Billing Error,"Zone 03 does not receive P5 pricing. "
Data Entry,Other,TWO DIFFERENT PATIENTS WERE STAPLED INTO THE SAME DOCUMENT
Data Entry,Refill Request,"REFILL RESPONSE LEFT IN TRIAGE INSTEAD OF BEING MOVED DIRECTLY TO REFILL QUEUE
"
Data Entry,HOA/FREQUENCY/FILL LIST,"HOA WRONG - FREQ NEEDS TO BE T FOR CRMS "
Data Entry,HOA/FREQUENCY/FILL LIST,"ALL CREAMS FOR AZPH NEED TO HAVE FREQ=T FOR TREATMENT SHEET "
Data Entry,Refill Request,"REFILL RESPONSE DOC LEFT IN TRIAGE INSTEAD OF BEING MOVED TO REFILL QUEUE
"
Data Entry,Wrong Batch,ZONES NEED A YT FOR 945 BATCH
Billing,Billing Error,BILLING NOT VOIDED BEFORE RFCF DOC MOVED TO BE PROCESSED BY O/E
Fulfillment DLY,Label Issue,MISSED STAT BATCH
Data Entry,Wrong Batch,ZONES DON'T GO ON THE 6:45 RUN WITHOUT A YT.
Data Entry,Wrong Batch,GARNET IS OUT OF TOWN AND ONLY GOES 545 AM
Data Entry,Wrong Batch,GARNET IS OUT OF TOWN AND ONLY   GOES 545 AM
Data Entry,Wrong Batch,GARNET IS OUT OF TOWN AND ONLY GOES 545 AM
Fulfillment,SIG/MULTI-SIG/DIRECTIONS,"Rx notes to send school vial, not made"
Data Entry,Document Not Associated,doc not faxed to fac
Cycle Fill,Quantity,"sig qod, filled qd"
Cycle Fill,Quantity,"sig q4d, filled qd"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,fl indicator not removed on multisig rfcf
Data Entry,Quantity,"did not atcf
"
Data Entry,Quantity,did not atcf
Data Entry,Quantity,did not atcf
Data Entry,Document Not Associated,did not fax to fac
Data Entry,Missed Order,completed doc w/o sending to rph
Data Entry,Quantity,did not atcf
Data Entry,Packaging,cut tabs for vial home
Cycle Fill,Quantity,"sig 2, filled 1"
Billing,Procedure,"DID NOT START A PA, SENT MMF STATING RTS WHICH IS INCORRECT"
Data Entry,Wrong Batch,NO DOC TO SUPPORT STAT6P BATCH
Data Entry,Wrong Batch,"refill miss-batched as a ""stat 6p"""
Data Entry,Wrong Batch,TUNGLAND BATCHED 645 SUN
Data Entry,Wrong Batch,SUNVIEW DOESN'T NEED A YT
Data Entry,Wrong Batch,SUNVIEW DOESN'T GET A YT BATCH.
Data Entry,Wrong Batch,ZONES NEED A YT IF THEY ARE TO GO 645
Data Entry,Billing Error,LF 06/01
Pharmacist,Billing Error,COME MED
Data Entry,Procedure,HALF WORKED DOCUMENT
Data Entry,Procedure,HALF WORKED DOCUMENT
Data Entry,Procedure,1/2 WORKED DOC
Data Entry,Procedure,1/2 WORKED DOC
Data Entry,Procedure,1/2 WORKED DOC
Data Entry,Procedure,1/2 WORKED DOC
Data Entry,Procedure,1/2 WORKED DOC
Data Entry,Procedure,1/2 WORKED DOC
Billing,Charge Account,"The Sunview price plan was billed, but the charge account was left as the patient's.  We need to make sure that the charge account gets changed, especially when we are billing the facility for meds."
Data Entry,EMAR,START DATE
Data Entry,Quantity,"
"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry,Billing Error,WEST receives P5 pricing on OTC's.  This OTC was billed as Extended Care pricing.
Data Entry,Billing Error,WEST receives P5 pricing on OTC's.  This OTC was billed as Extended Care pricing.
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Billing,Document Error,"PA DOC WAS MISSING THE PA FORM "
Data Entry,Billing Error,DOCUMENT COMPLETED WITH TWO REJECTIONS IN QS1
Data Entry,Billing Error,DOC COMPLETED WITH REJ IN QS1
Fulfillment CF,Procedure (FF),DOCUMENT COMPLETED BUT DE HADN'T FINISHED WORKING ON REJECTIONS. MED MISSED RUN
Data Entry,Billing Error,DOC COMPLETED WITH REJ IN QS1
Billing,Billing Error,"CHANGED STATE TO WA, BUT CITY IS GILBERT AZ "
Billing,Billing Error,INCORRECT CHARGE ACCOUNT
Data Entry,Triage,"DOC MARKED DIRTY ""PT NOT IN QS1"" PT IS IN QS1 AND WAS ADMITTED 5 DAYS AGO, PLZ DBL CHECK WITH NAME AND DOB"
Data Entry,Document Error,PAGES FROM THIS DOC 18046752 AND DOC 18046949 WHERE STAPLED TOGETHER  AND THEY ARE DIFFERENT PATIENTS
Data Entry,Other,STAPLED TWO PATIENTS TOGETHER INTO ONE DOCUMENT
Data Entry,Rx Origin,"
"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry,ICD,"
"
Data Entry,Quantity,"
"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry,Rx Origin,"
"
Billing,Document Error,"INVALID QTY AND DAY SUPPLY , ALSO THE FORM WAS NOT PRINTED "
Billing,Procedure,ZONE CONVENTION NOT FOLLOWED FOR IN CARE OF
Data Entry,Other,In Care Of for zone patient did not follow convention
Data Entry Phone Team,Document Error,DOCUMENT WAS MOVED TO BILLING-NEW ADMIT QUEUE WHEN PT IS ALREADY IN THE SYSTEM
Billing,Procedure,In care of for zone patient did not follow zone convention
Billing,Procedure,Entered zone patient in wrong zone code
Data Entry Misc,Triage,INCORRECT DC
Billing,Billing Error,HECA receives P5 pricing on OTC's.  OTC was billed as Extended Care pricing.
Data Entry,Billing Error,BT receives P5 pricing for OTC's.  OTC was billed as Extended Care pricing.
Billing,Tickler,WRONG DATE ON TICKLER ... TO BE REMOVED FROM C/F
Fulfillment CF,Patient (FF),2 PATIENTS ONE SETUP
Data Entry,Billing Error,DOC DOESN'T SAY TO BILL FAC - OLD DOC DIDN'T SAY ALWAYS BILL FAC - WE DON'T BILL ZONE HOMES FOR PATIENT MEDS
Data Entry,Quantity,"
"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry,Missed Order,"
"
Data Entry,Date Written,"
"
Billing,Billing Error,ACSS receives P5 pricing for OTC's.  OTC was billed as Extended Care pricing.
Billing,Billing Error,ROYM receives P5 pricing on OTC's.  OTC was billed as Extended Care pricing.
Billing,Document Error,"PA PPW WAS NOT PRINTED , MISSING INFO ON PA VIA CMM"
Billing,Billing Error,"INS PAYS FOR BRAND AND MED WAS NOT SENT DUE TO PA FOR GENERIC "
Data Entry,Wrong Batch,ZONES DON'T GO 945 WITHOUT A YT BATCH
Fulfillment DLY,Label Issue,MISSED SPLIT SIG - INSULIN
Data Entry,Doctor/MDO (Order),"
"
Fulfillment DLY,Packaging,SHOULD BE 1/2 TABS
Fulfillment DLY,Packaging,should be a taper
Fulfillment DLY,Label Issue,missed split sig
Fulfillment DLY,Packaging,should be #3 for evening dose
Fulfillment DLY,Extra/Missing Pill(s),JUMPER
Data Entry,Wrong Batch,ASCEND DOES NOT GO 645 WITHOUT A YT BATCH
Fulfillment DLY,Packaging,ALF PACKAGED LIKE A SNF
Data Entry,Wrong Batch,TUNGLAND DOES NOT GO ON THE WEEKENDS WITHOUT A YT
Fulfillment DLY,Label Issue,WRONG BIN COLOR FOR LABEL BATCH
Data Entry,Wrong Batch,ZONE BATCHED 645 WITHOUT A YT
Fulfillment DLY,Label Issue,WRONG BIN COLOR FOR BATCH ON LABEL
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry,Wrong Batch,AZPH DOES NOT GO ON THE 145 RUN
Data Entry,Wrong Batch,ZONE BATCHED 645
Data Entry Phone Team,Wrong Batch,OUT OF TOWN HOMES DON'T GO ON THE 645 RUN
Data Entry,Wrong Batch,ZONES DON'T GO 645 WITHOUT A YT
Data Entry,Wrong Batch,zone batched 645
Data Entry,HOA/FREQUENCY/FILL LIST,"
"
Data Entry,Date Written,"
"
Data Entry Misc,Date Written,"
"
Data Entry,Doctor/MDO (Order),"WRONG MDO PROFILE WAS SELECTED "
Data Entry,Billing Error,DOC COMPLETED WITH REJECTION IN QS1
Data Entry,Billing Error,DOC COMPLETED WITH REJ STILL ACTIVE
Data Entry,Billing Error,ZBW1 receives Brookdale Cash pricing on OTC's.  OTC was billed as Extended Care pricing.
Billing,Billing Error,POSTED PAYMENT TO WRONG ACCT - POSTED TO FIEDF SHOULD BE BEDEM
Billing,Other,"RIP AND KLV OUTCOME NOTE REGARDING MIS-POSTED PAYMENT NEITHER ONE DID THE ADJUSTMENT DOC  "
Data Entry,Billing Error,"SAME MED WAS FILLED EARLIER TODAY, THIS SHOULD HAVE BEEN P.O"
Fulfillment DLY,Other,COMPLETED DOC WITHOUT DOING MISC DELIVERY.
Billing,Billing Error,DID NOT NOTATE IN OUTCOMES AFTER CONVO WITH POA
Billing,Billing Error,"NO INSURANCE ACCOUNT NOT BLOCKED TO AVOID SENDING MEDICATIONS OUT AS U&C "
Data Entry Misc,Billing Error,LF 06/14 W/DIFF RX
Data Entry Misc,Billing Error,BGMC receives P5 pricing on OTC's.  OTC was billed as Extended Care pricing.
Billing,Billing Error,WEST receives P5 pricing for OTC's.  OTC was billed as Extended Care pricing.
Data Entry Misc,Billing Error,WEST receives P5 pricing for OTC's.  OTC was billed as Extended Care pricing.
Billing,Billing Error,BILLING AGREEMENT - POA INFO NOT PLACED IN THE ALTERNATE ADDRESS FIELD SO HE'D GET THE STATEMENTS EACH MONTH
Billing,Procedure,"When we do a new admission, something billable must be in the insurance profile (like Saliba's Discount). Since billable insurance was not in the insurance screen, 9 meds went out the door billed as U&C (not insurance)."
Data Entry,EMAR,NO SHORT IN REFILLS
Billing,Billing Error,"ALL ADMIT INS WAS U&C AND OLAZAPINE ODT NEEDS PA , "
Billing,Matrix Error,The insurance profile and billing matrix screens for UHC were not set up correctly.
Billing,Matrix Error,The insurance profile and billing matrix screens for UHC were not set up correctly.
Data Entry,Triage,2 PATIENT ADMITS STAPLED TOGETHER
Billing,Document Error,"PROVIDER ON THE PA IS HOSPITALIST , "
Data Entry,Document Error,DOC# 18093989 WAS STAPLED TO ANOTHER PATIENT DOC#18094083
Billing,New Admit Process,"PATIENT IS AT VOAL, TECH DIDNT CHANGE ADDRESS FROM ACACIA"
Billing,Tickler,WRONG TICKLER DATE
Fulfillment DLY,Procedure (FF),NO BACK STAMP ON PARTIAL SNF C2 FILL
Data Entry,Wrong Batch,TUNGLAND DOES NOT GO WEEKEND WITHOUT A YT BATCH
Data Entry,Procedure,DOC COMPLETED
Data Entry,Billing Error,DOC COMPLETED WITH REJ IN QS1
Data Entry,Wrong Batch,GARNET DOESN'T GET THE 145 WEEKEND RUN
Data Entry,Wrong Batch,GARNET DOESN'T GET THE 145 WEEKEND RUN
Data Entry,Wrong Batch,ZONES DON'T GO ON THE 645 WITHOUT A YT BATCH
Data Entry,Procedure,WRONG QUEUE
Data Entry Misc,Wrong Batch,ZONES DON'T GO 645 WEEKEND UNLESS YT
Data Entry Misc,Wrong Batch,A ZONE HOME BATCHED FOR THE 645 WITHOUT A YT BATCH
Data Entry Misc,Wrong Batch,ZONES WON'T GO 645 WITHOUT A YT
Data Entry Misc,Wrong Batch,ZONES WON'T GO 645 WITHOUT A YT
Data Entry Misc,Wrong Batch,ZONES WON'T GO 645 WITHOUT A YT
Data Entry Misc,Wrong Batch,ZONES WON'T GO 645 WITHOUT A YT
Data Entry Misc,Wrong Batch,ZONES WON'T GO 645 WITHOUT A YT
Fulfillment DLY,Label Issue,545 BATCH PLACED IN 645 BIN COLOR
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Data Entry,Other,MARKED AS PROFILE ONLY BUT AN INCREASE
Data Entry,Other,TWO PATIENTS WERE STAPLED TOGETHER INTO THE SAME DOCUMENT.
Data Entry Misc,Triage,CLIV/PRM NOT TO BE MARKED DIRTY
Data Entry,Document Error,"THIS IS NOT PA DOC , ITS SAYS WORKERS COMPENSATION MEDICATION AUTHORIZATION "
Data Entry,HOA/FREQUENCY/FILL LIST,STOP DATE
Data Entry,Other,STOP DATE
Data Entry,Quantity,STOP DATE
Data Entry,SIG/MULTI-SIG/DIRECTIONS,STOP DATE
Data Entry,Refill Request,REFILL REQUEST LEFT IN TRIAGE INSTEAD OF BEING MOVED TO REFILL QUEUE
Data Entry,Quantity,"
"
Data Entry,ICD,"
"
Data Entry,Document Error,"NOT PA DOC "
Data Entry,Billing Error,"MED WAS LEFT ON C/F AND WAS DELIVER , MED NEEDS PA "
Data Entry,Doctor/MDO (Order),"WRONG PROVIDER OFFICE WAS SELECTED FOR RX "
Data Entry,Triage,RUN TIME
Data Entry Phone Team,Other,TWO DIFFERENT PATIENTS STAPLED TOGETHER INTO ONE DOCUMENT
Data Entry,SIG/MULTI-SIG/DIRECTIONS,qday entered for qam
Data Entry,SIG/MULTI-SIG/DIRECTIONS,1D INSTEAD OF PM
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"SPIRIVA HOA 2D, TAUGHT HIM REASON FOR 2 PUFFS, ONE CAPSULE"
Data Entry Misc,Patient,DOCUMENT ASSOCIATED TO WRONG PATIENT
Data Entry,Other,START DATE
Data Entry,Wrong Batch,START DATE
Data Entry Misc,HOA/FREQUENCY/FILL LIST,STOP DATE
Data Entry Misc,Other,STOP DATE
Data Entry,Billing Error,ZEMM receives Brookdale Cash pricing on OTC's.  OTC was billed as Extended Care.
Pharmacist,Billing Error,BT receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Billing,Billing Error,MTC does not receive P5 pricing on OTC's.
Fulfillment CF,Label Issue,QTY
Billing,Billing Error,"VOIDED PAID CLAIM THAT WAS A DRUG OUT, SHOULD HAVE MARKED COMPLETE IF YOU SAW IN ER WITH A DRUGOUT NOTE"
Data Entry,Procedure,WAS FILLED NOT PROFILED
Data Entry,Tickler,WAS FILLED NOT PROFILED
Data Entry,Document Error,"Document was sent to the wrong location. there had been new orders in this document. "
Data Entry,Procedure,"Document was sent to the wrong location. there had been new orders in this document. "
Data Entry Phone Team,Procedure,WRONG QUEUE
Data Entry,Refill Request,not atcf
Data Entry,Missed Order,doc completed before pv1
Billing,Billing Error,OTC SHOULD NOT BE BILLED AS MEDICARE A2 - NOT A MEDICARE FACILITY
Billing,Charge Account,"The facility's price plan was billed, but the charge account was left as the patient's.  We need to change it to the facility's charge account if we are billing them."
Data Entry,Charge Account,"The facility's price plan was billed, but the charge account was left as the patient's.  We need to make sure that we change it to the facility's charge account if we are billing them."
Data Entry,Charge Account,"The facility's price plan was billed, but the charge account was left as the patient's.  We need to make sure that we change it to the facility's charge account if we are billing them."
Data Entry,Charge Account,"The facility's price plan was billed, but the charge account was left as the patient's.  We need to make sure that we change it to the facility's charge account if we are billing them."
Data Entry,Charge Account,"The facility's price plan was billed, but the charge account was left as the patient's.  We need to make sure that we change it to the facility's charge account if we are billing them."
Data Entry,Charge Account,"The facility's price plan was billed, but the charge account was left as the patient's.  We need to make sure that we change it to the facility's charge account if we are billing them."
Data Entry,Billing Error,LF 06/24
Data Entry,Charge Account,"The facility's price plan was billed, but the charge account was left as the patient's.  We need to make sure that we change it to the facility's charge account if we are billing them."
Data Entry,Billing Error,LF 06/24
Data Entry,Doctor/MDO (Order),"
"
Billing,Charge Account,"The facility's price plan was billed, but the charge account was left as the patient's. "
Data Entry,Document Error,"PA APPROVAL NO COPY WAS LEFT FOR D/E "
Data Entry,Billing Error,LF 06/21
Data Entry,Drug,"
"
Data Entry,Doctor/MDO (Order),"INVALID MDO PROFILE "
Data Entry,Procedure,"DOC WASN'T SENT TO RPH "
Data Entry,Procedure,DOC WASN'T SENT TO RPH
Billing,Billing Error,SSLP receives P5 pricing for OTC's.  OTC was billed as Extended Care.
Data Entry,Procedure,DOC NOT SENT TO RPH
Data Entry Phone Team,Document Error,USING A MISC NEEDS DOC FOR NON-CF REQUEST. SHOULD HAVE USED A MISC DELIVERY DOC TO DELIVER REQUESTED PRODUCT
Data Entry,Patient,STOCK ACCT
Fulfillment DLY,Label Issue,LABEL WON'T SCAN - TX VOIDED
Fulfillment DLY,Label Issue,MISSED STAT BATCH ON LABEL - MISSED STAT TIME
Billing,Billing Error,PAYMENT APPLIED TO DAVID WHEN THE MEMO AREA SAYS JUDY
Fulfillment DLY,Extra/Missing Pill(s),JUMPER
Data Entry,Procedure,DOC WAS COMPLETED
Data Entry,Procedure,DOC WAS COMPLETED
Data Entry,Wrong Batch,ASCEND DOESN'T GET THE 645 RUN
Data Entry,Wrong Batch,ASCEND DOESN'T GET THE 645 RUN
Fulfillment DLY,Label Issue,WRONG COLOR BIN FOR BATCH ON LABEL
Fulfillment DLY,Label Issue,WRONG COLOR BIN FOR BATCH ON LABEL
Data Entry,Wrong Batch,STAT BATCH - NO DOCUMENT OR PHONE CALL
Data Entry,Wrong Batch,STAT BATCH - NO DOCUMENT OR PHONE CALL
Data Entry,Wrong Batch,STAT BATCH - NO DOCUMENT OR PHONE CALL
Data Entry,Wrong Batch,REFILL MISS-BATCHED AS A STAT
Data Entry,Wrong Batch,MISS-BATCHED STAT
Data Entry,Wrong Batch,ZONES DON'T GO 645 WITHOUT A YT BATCH
Data Entry,Date Written,"
"
Data Entry,Quantity,"EUCERIN ONLY COMES 113 OR 454 - WE DONT BREAK "
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment CF,Procedure (FF),SYNMED-CARD NOT SEALED.
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION-SYNMED
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION-SYNMED
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION-SYNMED
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION-SYNMED
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION-SYNMED
Fulfillment CF,Packaging,CONTAMINATION INSIDE SOME OF THE BUBBLES
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment SYNMED,Procedure (FF),MISTAKES IN PC - UNSIGNED SHEET
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Packaging,SHOULD BE 2/BUBBLE
Data Entry,Invalid payor / code (TEST),"""COMP PHARM ERROR"" was left in the primary insurance field, causing it to automatically bill for the comp price plan to bill for the entire cycle fill. Pt.'s real insurance was not placed back into the primary ins. field after billing the comp plan."
Data Entry,Invalid payor / code (TEST),"""MISSING MED"" was left in the primary insurance field"
Billing,New Admit Process,"The insurance profile and billing matrix screens were both left blank.  Matt Medders has stated that even if the patient being admitted is profile only, we still need to make sure SOMETHING is in these fields. We are not to leave them blank."
Billing,Billing Error,WEST receives P5 pricing on OTC's. OTC was billed as Extended Care.
Billing,Billing Error,WEST receives P5 pricing on OTC's. OTC was billed as Extended Care.
Billing,Billing Error,WEST receives P5 pricing on OTC's. OTC was billed as Extended Care.
Billing,Billing Error,SSL receives P5 pricing on OTC's. OTC was billed as Extended Care.
Billing,Billing Error,WEST receives P5 pricing on OTC's. OTC was billed as Extended Care.
Billing,Billing Error,TER receives P5 pricing on OTC's. OTC was billed as Extended Care.
Data Entry,Billing Error,Stock accounts do not receive P5 pricing.  P5 is just for (select) patient accounts.
